linguagem,tamanhoArray,tempoExecucao,filePath
C,10,0.000004,../../Entradas/entrada2.txt
C#,10,0.0682988000,../../Entradas/entrada2.txt
C++,10,0.0000079950,../../Entradas/entrada2.txt
Java,10,0.0002571610,../../Entradas/entrada2.txt
JavaScript,10,0.000322271,../../Entradas/entrada2.txt
PHP,10,0.0000228882,../../Entradas/entrada2.txt
Python,10,0.0001118183,../../Entradas/entrada2.txt
C,10,0.000005,../../Entradas/entrada1.txt
C#,10,0.0707181000,../../Entradas/entrada1.txt
C++,10,0.0000175370,../../Entradas/entrada1.txt
Java,10,0.0002405500,../../Entradas/entrada1.txt
JavaScript,10,0.00056921,../../Entradas/entrada1.txt
PHP,10,0.0000219345,../../Entradas/entrada1.txt
Python,10,0.0000894070,../../Entradas/entrada1.txt
C,10,0.000006,../../Entradas/entrada.txt
C#,10,0.0682867000,../../Entradas/entrada.txt
C++,10,0.0000112010,../../Entradas/entrada.txt
Java,10,0.0002487510,../../Entradas/entrada.txt
JavaScript,10,0.000341618,../../Entradas/entrada.txt
PHP,10,0.0000231266,../../Entradas/entrada.txt
Python,10,0.0000755787,../../Entradas/entrada.txt
C,100,0.000026,../../Entradas/entrada2.txt
C#,100,0.0696385000,../../Entradas/entrada2.txt
C++,100,0.0001050910,../../Entradas/entrada2.txt
Java,100,0.0033220900,../../Entradas/entrada2.txt
JavaScript,100,0.000572145,../../Entradas/entrada2.txt
PHP,100,0.0001409054,../../Entradas/entrada2.txt
Python,100,0.0004875660,../../Entradas/entrada2.txt
C,100,0.000039,../../Entradas/entrada1.txt
C#,100,0.0692588000,../../Entradas/entrada1.txt
C++,100,0.0000692390,../../Entradas/entrada1.txt
Java,100,0.0041507860,../../Entradas/entrada1.txt
JavaScript,100,0.000489861,../../Entradas/entrada1.txt
PHP,100,0.0002241135,../../Entradas/entrada1.txt
Python,100,0.0006031990,../../Entradas/entrada1.txt
C,100,0.000045,../../Entradas/entrada.txt
C#,100,0.0702566000,../../Entradas/entrada.txt
C++,100,0.0000734220,../../Entradas/entrada.txt
Java,100,0.0039541400,../../Entradas/entrada.txt
JavaScript,100,0.000534334,../../Entradas/entrada.txt
PHP,100,0.0001339912,../../Entradas/entrada.txt
Python,100,0.0004627705,../../Entradas/entrada.txt
C,500,0.000146,../../Entradas/entrada2.txt
C#,500,0.0807629000,../../Entradas/entrada2.txt
C++,500,0.0003659770,../../Entradas/entrada2.txt
Java,500,0.0100344400,../../Entradas/entrada2.txt
JavaScript,500,0.003362567,../../Entradas/entrada2.txt
PHP,500,0.0008380413,../../Entradas/entrada2.txt
Python,500,0.0032944679,../../Entradas/entrada2.txt
C,500,0.000230,../../Entradas/entrada1.txt
C#,500,0.0771174000,../../Entradas/entrada1.txt
C++,500,0.0003606820,../../Entradas/entrada1.txt
Java,500,0.0102667310,../../Entradas/entrada1.txt
JavaScript,500,0.00172428,../../Entradas/entrada1.txt
PHP,500,0.0009958744,../../Entradas/entrada1.txt
Python,500,0.0040273666,../../Entradas/entrada1.txt
C,500,0.000204,../../Entradas/entrada.txt
C#,500,0.0708876000,../../Entradas/entrada.txt
C++,500,0.0004372580,../../Entradas/entrada.txt
Java,500,0.0117039420,../../Entradas/entrada.txt
JavaScript,500,0.003038003,../../Entradas/entrada.txt
PHP,500,0.0007870197,../../Entradas/entrada.txt
Python,500,0.0040493011,../../Entradas/entrada.txt
C,1000,0.000308,../../Entradas/entrada2.txt
C#,1000,0.0773407000,../../Entradas/entrada2.txt
C++,1000,0.0008260910,../../Entradas/entrada2.txt
Java,1000,0.0166703660,../../Entradas/entrada2.txt
JavaScript,1000,0.007145762,../../Entradas/entrada2.txt
PHP,1000,0.0018579960,../../Entradas/entrada2.txt
Python,1000,0.0072729588,../../Entradas/entrada2.txt
C,1000,0.000390,../../Entradas/entrada1.txt
C#,1000,0.1094493000,../../Entradas/entrada1.txt
C++,1000,0.0008459540,../../Entradas/entrada1.txt
Java,1000,0.0177248810,../../Entradas/entrada1.txt
JavaScript,1000,0.008718666,../../Entradas/entrada1.txt
PHP,1000,0.0018379688,../../Entradas/entrada1.txt
Python,1000,0.0093145370,../../Entradas/entrada1.txt
C,1000,0.000466,../../Entradas/entrada.txt
C#,1000,0.0700672000,../../Entradas/entrada.txt
C++,1000,0.0008845810,../../Entradas/entrada.txt
Java,1000,0.0145086970,../../Entradas/entrada.txt
JavaScript,1000,0.007933271,../../Entradas/entrada.txt
PHP,1000,0.0026810169,../../Entradas/entrada.txt
Python,1000,0.0102376938,../../Entradas/entrada.txt
