linguagem,tamanhoArray,tempoExecucao,filePath
C,10,0.000005,../../../datasets/Entradas/aleatorio.txt
C#,10,0.0863120000,../../../datasets/Entradas/aleatorio.txt
C++,10,0.0000122300,../../../datasets/Entradas/aleatorio.txt
Java,10,0.0002484930,../../../datasets/Entradas/aleatorio.txt
JavaScript,10,0.000316256,../../../datasets/Entradas/aleatorio.txt
PHP,10,0.0000371933,../../../datasets/Entradas/aleatorio.txt
Python,10,0.0000660419,../../../datasets/Entradas/aleatorio.txt
C,100,0.000033,../../../datasets/Entradas/aleatorio.txt
C#,100,0.0642677000,../../../datasets/Entradas/aleatorio.txt
C++,100,0.0000707130,../../../datasets/Entradas/aleatorio.txt
Java,100,0.0076720280,../../../datasets/Entradas/aleatorio.txt
JavaScript,100,0.000604185,../../../datasets/Entradas/aleatorio.txt
PHP,100,0.0002200603,../../../datasets/Entradas/aleatorio.txt
Python,100,0.0007865429,../../../datasets/Entradas/aleatorio.txt
C,1000,0.000311,../../../datasets/Entradas/aleatorio.txt
C#,1000,0.0767176000,../../../datasets/Entradas/aleatorio.txt
C++,1000,0.0011048200,../../../datasets/Entradas/aleatorio.txt
Java,1000,0.0080512500,../../../datasets/Entradas/aleatorio.txt
JavaScript,1000,0.006200307,../../../datasets/Entradas/aleatorio.txt
PHP,1000,0.0027389526,../../../datasets/Entradas/aleatorio.txt
Python,1000,0.0058438778,../../../datasets/Entradas/aleatorio.txt
C,10000,0.003568,../../../datasets/Entradas/aleatorio.txt
C#,10000,0.2910867000,../../../datasets/Entradas/aleatorio.txt
C++,10000,0.0074329450,../../../datasets/Entradas/aleatorio.txt
Java,10000,0.0312395030,../../../datasets/Entradas/aleatorio.txt
JavaScript,10000,0.019262825,../../../datasets/Entradas/aleatorio.txt
PHP,10000,0.0179748535,../../../datasets/Entradas/aleatorio.txt
Python,10000,0.0797796249,../../../datasets/Entradas/aleatorio.txt
C,100000,0.042222,../../../datasets/Entradas/aleatorio.txt
C#,100000,0.3369221000,../../../datasets/Entradas/aleatorio.txt
C++,100000,0.0882174470,../../../datasets/Entradas/aleatorio.txt
Java,100000,0.3893778950,../../../datasets/Entradas/aleatorio.txt
JavaScript,100000,0.094087182,../../../datasets/Entradas/aleatorio.txt
PHP,100000,0.2814531326,../../../datasets/Entradas/aleatorio.txt
Python,100000,0.7997794151,../../../datasets/Entradas/aleatorio.txt
C,1000000,0.488979,../../../datasets/Entradas/aleatorio.txt
C#,1000000,1.5191074000,../../../datasets/Entradas/aleatorio.txt
C++,1000000,1.1643469010,../../../datasets/Entradas/aleatorio.txt
Java,1000000,2.5616658810,../../../datasets/Entradas/aleatorio.txt
JavaScript,1000000,0.71363078,../../../datasets/Entradas/aleatorio.txt
PHP,1000000,3.4714510441,../../../datasets/Entradas/aleatorio.txt
Python,1000000,12.2443428040,../../../datasets/Entradas/aleatorio.txt
C,10,0.000006,../../../datasets/Entradas/crescente.txt
C#,10,0.0853248000,../../../datasets/Entradas/crescente.txt
C++,10,0.0000071430,../../../datasets/Entradas/crescente.txt
Java,10,0.0001942500,../../../datasets/Entradas/crescente.txt
JavaScript,10,0.000519208,../../../datasets/Entradas/crescente.txt
PHP,10,0.0000479221,../../../datasets/Entradas/crescente.txt
Python,10,0.0000944138,../../../datasets/Entradas/crescente.txt
C,100,0.000026,../../../datasets/Entradas/crescente.txt
C#,100,0.0967325000,../../../datasets/Entradas/crescente.txt
C++,100,0.0000460380,../../../datasets/Entradas/crescente.txt
Java,100,0.0030866800,../../../datasets/Entradas/crescente.txt
JavaScript,100,0.001029984,../../../datasets/Entradas/crescente.txt
PHP,100,0.0001270771,../../../datasets/Entradas/crescente.txt
Python,100,0.0007040501,../../../datasets/Entradas/crescente.txt
C,1000,0.000177,../../../datasets/Entradas/crescente.txt
C#,1000,0.0628388000,../../../datasets/Entradas/crescente.txt
C++,1000,0.0008091220,../../../datasets/Entradas/crescente.txt
Java,1000,0.0107976510,../../../datasets/Entradas/crescente.txt
JavaScript,1000,0.006029353,../../../datasets/Entradas/crescente.txt
PHP,1000,0.0023350716,../../../datasets/Entradas/crescente.txt
Python,1000,0.0052449703,../../../datasets/Entradas/crescente.txt
C,10000,0.002544,../../../datasets/Entradas/crescente.txt
C#,10000,0.0818817000,../../../datasets/Entradas/crescente.txt
C++,10000,0.0100831390,../../../datasets/Entradas/crescente.txt
Java,10000,0.0272526590,../../../datasets/Entradas/crescente.txt
JavaScript,10000,0.020510123,../../../datasets/Entradas/crescente.txt
PHP,10000,0.0234000683,../../../datasets/Entradas/crescente.txt
Python,10000,0.0743417740,../../../datasets/Entradas/crescente.txt
C,100000,0.023760,../../../datasets/Entradas/crescente.txt
C#,100000,0.1629042000,../../../datasets/Entradas/crescente.txt
C++,100000,0.0646167110,../../../datasets/Entradas/crescente.txt
