linguagem,tamanhoArray,tempoExecucao,filePath
C,10,0.000004,../../datasets/inputs/asceding.txt
C++,10,0.0000080430,../../datasets/inputs/asceding.txt
C#,10,0.0658140000,../../datasets/inputs/asceding.txt
Java,10,0.0002966200,../../../datasets/inputs/asceding.txt
JavaScript,10,0.000322749,../../../datasets/inputs/asceding.txt
PHP,10,0.0000658035,../../../datasets/inputs/asceding.txt
Python,10,0.0000722408,../../../datasets/inputs/asceding.txt
C,10,0.000005,../../datasets/inputs/asceding.txt
C++,10,0.0000070160,../../datasets/inputs/asceding.txt
C#,10,0.0631100000,../../datasets/inputs/asceding.txt
Java,10,0.0001668350,../../../datasets/inputs/asceding.txt
JavaScript,10,0.000346524,../../../datasets/inputs/asceding.txt
PHP,10,0.0000610352,../../../datasets/inputs/asceding.txt
Python,10,0.0000643730,../../../datasets/inputs/asceding.txt
C,100,0.000021,../../datasets/inputs/asceding.txt
C,10,0.000005,../../datasets/inputs/asceding.txt
C++,10,0.0000076270,../../datasets/inputs/asceding.txt
C#,10,0.0888930000,../../datasets/inputs/asceding.txt
Java,10,0.0001619580,../../../datasets/inputs/asceding.txt
JavaScript,10,0.000294494,../../../datasets/inputs/asceding.txt
PHP,10,0.0000350475,../../../datasets/inputs/asceding.txt
Python,10,0.0000641346,../../../datasets/inputs/asceding.txt
C,100,0.000021,../../datasets/inputs/asceding.txt
C++,100,0.0000476970,../../datasets/inputs/asceding.txt
C#,100,0.0901817000,../../datasets/inputs/asceding.txt
Java,100,0.0025889050,../../../datasets/inputs/asceding.txt
JavaScript,100,0.000472297,../../../datasets/inputs/asceding.txt
PHP,100,0.0001268387,../../../datasets/inputs/asceding.txt
Python,100,0.0003752708,../../../datasets/inputs/asceding.txt
C,1000,0.000240,../../datasets/inputs/asceding.txt
C++,1000,0.0005045960,../../datasets/inputs/asceding.txt
C,10,0.000006,../../datasets/inputs/asceding.txt
C++,10,0.0000122590,../../datasets/inputs/asceding.txt
C#,10,0.0656942000,../../datasets/inputs/asceding.txt
Java,10,0.0001565510,../../../datasets/inputs/asceding.txt
PHP,10,0.0000360012,../../../datasets/inputs/asceding.txt
Python,10,0.0000600815,../../../datasets/inputs/asceding.txt
