linguagem1,tempo1,tamanhoArray,filePath,linguagem2,tempo2,tamanhoArray,filePath,porcentagem
C,1.94e-05,100,random1.txt,Rust,1.56582e-05,100,random1.txt,23.896744197928257
C,1.94e-05,100,random1.txt,Python,0.0001388788,100,random1.txt,-86.03098529077153
C,0.0002567,1000,random1.txt,Rust,0.0001318095,1000,random1.txt,94.75075772231897
C,0.0002567,1000,random1.txt,Python,0.0016703606,1000,random1.txt,-84.63206088553574
C,0.002922,10000,random1.txt,Rust,0.0015563045,10000,random1.txt,87.75246103831223
C,0.002922,10000,random1.txt,Python,0.0212305784,10000,random1.txt,-86.23683281280739
C,0.0374432,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,107.62241394947236
C,0.0374432,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-84.23213900833257
C,0.157279,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,62.59009638632313
C,0.157279,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-88.58384582756588
C,0.3319595,1000000,random1.txt,Rust,0.1817470917,1000000,random1.txt,82.64914001922376
C,0.3319595,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-89.14453399448439
C++,3.16743e-05,100,random1.txt,Rust,1.56582e-05,100,random1.txt,102.28570333754841
C++,3.16743e-05,100,random1.txt,Python,0.0001388788,100,random1.txt,-77.19284728842702
C++,3.16743e-05,100,random1.txt,C,1.94e-05,100,random1.txt,63.269587628865985
C++,0.0003382187,1000,random1.txt,Rust,0.0001318095,1000,random1.txt,156.59660343146743
C++,0.0003382187,1000,random1.txt,Python,0.0016703606,1000,random1.txt,-79.75175539940298
C++,0.0003382187,1000,random1.txt,C,0.0002567,1000,random1.txt,31.756408258667708
C++,0.0039549278,10000,random1.txt,Rust,0.0015563045,10000,random1.txt,154.1230074191779
C++,0.0039549278,10000,random1.txt,Python,0.0212305784,10000,random1.txt,-81.371549443985
C++,0.0039549278,10000,random1.txt,C,0.002922,10000,random1.txt,35.35002737850786
C++,0.0453343848,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,151.37900625721807
C++,0.0453343848,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-80.90904950246878
C++,0.0453343848,100000,random1.txt,C,0.0374432,100000,random1.txt,21.075081189641907
C++,0.2368058617,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,144.80247126856926
C++,0.2368058617,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-82.81135926536084
C++,0.2368058617,500000,random1.txt,C,0.157279,500000,random1.txt,50.56419591935351
C++,0.4891753953,1000000,random1.txt,Rust,0.1817470917,1000000,random1.txt,169.15170456067327
C++,0.4891753953,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-84.00338934594788
C++,0.4891753953,1000000,random1.txt,C,0.3319595,1000000,random1.txt,47.35996267616982
C#,0.03745095,100,random1.txt,Rust,1.56582e-05,100,random1.txt,239077.87485151552
C#,0.03745095,100,random1.txt,Python,0.0001388788,100,random1.txt,26866.642856937124
C#,0.03745095,100,random1.txt,Java,0.0014870696,100,random1.txt,2418.4396211179355
C#,0.03832115,1000,random1.txt,Rust,0.0001318095,1000,random1.txt,28973.132058007955
C#,0.03832115,1000,random1.txt,Python,0.0016703606,1000,random1.txt,2194.1842617695843
C#,0.03832115,1000,random1.txt,Java,0.0064810721,1000,random1.txt,491.27794612869684
C#,0.04294148,10000,random1.txt,Rust,0.0015563045,10000,random1.txt,2659.195260310562
C#,0.04294148,10000,random1.txt,Python,0.0212305784,10000,random1.txt,102.2624122195371
C#,0.04294148,10000,random1.txt,Java,0.0175658865,10000,random1.txt,144.45950962964494
C#,0.1106516,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,513.5627376765723
C#,0.1106516,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-53.403046553029974
C#,0.1106516,100000,random1.txt,Java,0.157430085,100000,random1.txt,-29.713815501020658
C#,0.3413687,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,252.8962533858546
C#,0.3413687,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-75.22162711586789
C#,0.3413687,500000,random1.txt,Java,0.4540201149,500000,random1.txt,-24.811987663765063
C#,0.62772576,1000000,random1.txt,Rust,0.1817470917,1000000,random1.txt,245.3842117243629
C#,0.62772576,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-79.47262949707282
C#,0.62772576,1000000,random1.txt,Java,0.8559624321,1000000,random1.txt,-26.6643328656433
Rust,1.56582e-05,100,random1.txt,Python,0.0001388788,100,random1.txt,-88.72527700412157
Rust,0.0001318095,1000,random1.txt,Python,0.0016703606,1000,random1.txt,-92.10891947523187
Rust,0.0015563045,10000,random1.txt,Python,0.0212305784,10000,random1.txt,-92.6695143642436
Rust,0.0180342764,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-92.40551119133758
Rust,0.0967334441,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-92.97856731365192
Rust,0.1817470917,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-94.05665638262897
Java,0.0014870696,100,random1.txt,Rust,1.56582e-05,100,random1.txt,9397.066074005952
Java,0.0014870696,100,random1.txt,Python,0.0001388788,100,random1.txt,970.7678925797168
Java,0.0064810721,1000,random1.txt,Rust,0.0001318095,1000,random1.txt,4816.999229949283
Java,0.0064810721,1000,random1.txt,Python,0.0016703606,1000,random1.txt,288.00436863752645
Java,0.0175658865,10000,random1.txt,Rust,0.0015563045,10000,random1.txt,1028.6921357613498
Java,0.0175658865,10000,random1.txt,Python,0.0212305784,10000,random1.txt,-17.261385116102158
Java,0.157430085,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,772.9492745270334
Java,0.157430085,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-33.703965040744706
Java,0.4540201149,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,369.3517522550404
Java,0.4540201149,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-67.04478265321718
Java,0.8559624321,1000000,random1.txt,Rust,0.1817470917,1000000,random1.txt,370.96348232789904
Java,0.8559624321,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-72.00902193291645
JavaScript,0.0004380183,100,random1.txt,Rust,1.56582e-05,100,random1.txt,2697.3732612944013
JavaScript,0.0004380183,100,random1.txt,Python,0.0001388788,100,random1.txt,215.396086371714
JavaScript,0.0004380183,100,random1.txt,Java,0.0014870696,100,random1.txt,-70.54486891534867
JavaScript,0.0024974944,1000,random1.txt,Rust,0.0001318095,1000,random1.txt,1794.7757179869434
JavaScript,0.0024974944,1000,random1.txt,Python,0.0016703606,1000,random1.txt,49.51827767010308
JavaScript,0.0024974944,1000,random1.txt,Java,0.0064810721,1000,random1.txt,-61.46479530755412
JavaScript,0.045545918,10000,random1.txt,Rust,0.0015563045,10000,random1.txt,2826.5428455678175
JavaScript,0.045545918,10000,random1.txt,Python,0.0212305784,10000,random1.txt,114.52980291860537
JavaScript,0.045545918,10000,random1.txt,Java,0.0175658865,10000,random1.txt,159.28619087912244
JavaScript,0.0500490006,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,177.5215344930612
JavaScript,0.0500490006,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-78.92365812129626
JavaScript,0.0500490006,100000,random1.txt,Java,0.157430085,100000,random1.txt,-68.20874447218903
JavaScript,0.2081843983,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,115.21450025576003
